页号,章节/方法名,方法标识符,函数签名,说明
87,带条件线面合并,MergeObjByCondition,"SSProcess.MergeObjByCondition(mergeType,srcObjCodes,maxMergeDist,isMergeByRange,rangeCodes,isMergeGroupByAttr,fieldNames, isMergeOnFrameLine,getObjMode)","带条件线面合并 Online Help 带条件线面合并 MergeObjByCondition 函数 MergeObjByCondition 函数 带条件线面合并。 SSProcess.MergeObjByCondition(mergeType,srcObjCodes,maxMergeDist,is"
88,合并指定ID列表地物,MergeObjPointList,"SSProcess.MergeObjPointList(objIDs,limit,delLinkObj)","合并指定ID列表地物 Online Help 合并指定 ID 列表地物 MergeObjPointList 函数 MergeObjPointList 函数 合并指定 ID 列表地物。 SSProcess.MergeObjPointList(objIDs,limit,delLinkObj) 参数 ob"
89,平移选择集对象,OffsetSelectionObj,"SSProcess.OffsetSelectionObj( x, y, z)","平移选择集对象 Online Help 平移选择集对象 OffsetSelectionObj 函数 OffsetSelectionObj 函数 平移选择集内的所有对象。 SSProcess.OffsetSelectionObj( x, y, z) 参数 x X 坐标平移量 y Y 坐标平移量 z Z"
90,设置Undo标志,PushUndoMark,SSProcess.PushUndoMark(),设置Undo标志 Online Help 设置 Undo 标志 PushUndoMark 函数 PushUndoMark 函数 设置 Undo 标志 SSProcess.PushUndoMark() 参数 说明 执行该函数，将为往后的编辑操作设置 Undo 标志，支持后面操作的回退。
91,删除选择集对象的空间点,RemoveSelectionObjPoint,"SSProcess.RemoveSelectionObjPoint( index, count)","删除选择集对象的空间点 Online Help 删除选择集对象的空间点 RemoveSelectionObjPoint 函数 RemoveSelectionObjPoint 函数 删除选择集对象的空间点。 SSProcess.RemoveSelectionObjPoint( index, count"
92,移除当前选择集指定地物,RemoveSelGeo,SSProcess.RemoveSelGeo(index),移除当前选择集指定地物 Online Help 移除当前选择集指定地物 RemoveSelGeo 函数 RemoveSelGeo 函数 移除当前选择集指定地物。 SSProcess.RemoveSelGeo(index) 参数 index 地物索引号，从 0 开始 说明 执行该函数，将移除当前选择集
93,移除当前选择集指定注记,RemoveSelNote,SSProcess.RemoveSelNote(index),移除当前选择集指定注记 Online Help 移除当前选择集指定注记 RemoveSelNote 函数 RemoveSelNote 函数 移除当前选择集指定索引序号的注记。 SSProcess.RemoveSelNote(index) 参数 index 注记索引号，从 0 开始 说明 执行该函数，
94,根据编码重置当前选择集指定地物的属性,ResetSelGeoByCode,"SSProcess.ResetSelGeoByCode(index,code)","根据编码重置当前选择集指定地物的属性 Online Help 根据编码重置当前选择集指定地物的属性 ResetSelGeoByCode 函数 ResetSelGeoByCode 函数 根据编码重置当前选择集指定地物的属性。 SSProcess.ResetSelGeoByCode(index,code"
95,根据注记分类号重置当前选择集指定注记的属性,ResetSelNoteByFontClass,"SSProcess.ResetSelNoteByFontClass(index,fontClass)",根据注记分类号重置当前选择集指定注记的属性 Online Help 根据注记分类号重置当前选择集指定注记的属性 ResetSelNoteByFontClass 函数 ResetSelNoteByFontClass 函数 根据注记分类号重置当前选择集指定注记的属性。 SSProcess.ResetSe
96,保存存库列表对象到数据库,SaveBufferObjToDatabase,SSProcess.SaveBufferObjToDatabase(),保存存库列表对象到数据库 Online Help 保存存库列表对象到数据库 SaveBufferObjToDatabase 函数 SaveBufferObjToDatabase 函数 保存存库列表对象到数据库。 SSProcess.SaveBufferObjToDatabase() 参数 说明 执行
97,选择对象多边形裁剪,SelectionObjClip,"SSProcess.SelectionObjClip(clipPolygonID,clipFlag,extendDist)","选择对象多边形裁剪 Online Help 选择对象多边形裁剪 SelectionObjClip 函数 SelectionObjClip 函数 选择对象多边形裁剪。 SSProcess.SelectionObjClip(clipPolygonID,clipFlag,extendDist) 参数 cl"
98,选择对象多边形裁剪,SelectionObjClip1,"SSProcess.SelectionObjClip1(clipPolygonXYCoords,clipFlag)","选择对象多边形裁剪 Online Help 选择对象多边形裁剪 SelectionObjClip1 函数 SelectionObjClip1 函数 选择对象多边形裁剪。 SSProcess.SelectionObjClip1(clipPolygonXYCoords,clipFlag) 参数 clip"
99,选择集对象直角化处理,SelectionObjPerpendLize,"SSProcess.SelectionObjPerpendLize(minAngle,maxAngle,maxDistance)","选择集对象直角化处理 Online Help 选择集对象直角化处理 SelectionObjPerpendLize 函数 SelectionObjPerpendLize 函数 选择集对象直角化处理。 SSProcess.SelectionObjPerpendLize(minAngle,maxAngl"
100,选择集对象分割成单环面,SelectionObjSplitToSingleArea,SSProcess.SelectionObjSplitToSingleArea(),选择集对象分割成单环面 Online Help 选择集对象分割成单环面 SelectionObjSplitToSingleArea 函数 SelectionObjSplitToSingleArea 函数 选择集对象分割成单环面。 SSProcess.SelectionObjSplitToSingle
101,选择集对象拷贝到粘贴板,SelectionObjToClipBoard,SSProcess.SelectionObjToClipBoard(),选择集对象拷贝到粘贴板 Online Help 选择集对象拷贝到粘贴板 SelectionObjToClipBoard 函数 SelectionObjToClipBoard 函数 选择集对象拷贝到粘贴板。 SSProcess.SelectionObjToClipBoard() 参数 说明 执行该函数
102,当前选择集对象折线化,SelGeoGotoPoints,"SSProcess.SelGeoGotoPoints(index,mode)","当前选择集对象折线化 Online Help 当前选择集对象折线化 SelGeoGotoPoints 函数 SelGeoGotoPoints 函数 当前选择集对象折线化。 SSProcess.SelGeoGotoPoints(index,mode) 参数 index 地物索引号 mode 是否折线化"
103,当前选择集注记折线化,SelNoteGotoPoints,"SSProcess.SelNoteGotoPoints(index,mode)","当前选择集注记折线化 Online Help 当前选择集注记折线化 SelNoteGotoPoints 函数 SelNoteGotoPoints 函数 当前选择集对象折线化。 SSProcess.SelNoteGotoPoints(index,mode) 参数 index 注记索引号 , 从 0 开"
104,设置选择集修改参数,SetChangeSelectionObjParameter,"SSProcess.SetChangeSelectionObjParameter(matchConditions,updateSetAttrs)",设置选择集修改参数 Online Help 设置选择集修改参数 SetChangeSelectionObjParameter 函数 SetChangeSelectionObjParameter 函数 设置选择集修改参数。 SSProcess.SetChangeSelectionObjParamete
105,设置新图形对象属性,SetNewObjValue,"SSProcess.SetNewObjValue( attrField, attrValue)","设置新图形对象属性 Online Help 设置新图形对象属性 SetNewObjValue 函数 SetNewObjValue 函数 设置新图形对象属性。 SSProcess.SetNewObjValue( attrField, attrValue) 参数 attrField 要设置的属性字段名称"
106,修改对象属性值,SetObjectAttr,"SSProcess.SetObjectAttr( geoID, attrField, attrValue)","修改对象属性值 Online Help 修改对象属性值 SetObjectAttr 函数 SetObjectAttr 函数 修改对象属性值。 SSProcess.SetObjectAttr( geoID, attrField, attrValue) 参数 geoID 地物 ID attrField "
107,设置指定地物的空间点信息,SetObjectPoint,"SSProcess.SetObjectPoint(id,pointindex,x,,y,,z,,ptype,,name,savetodatabase)","设置指定地物的空间点信息 Online Help 设置指定地物的空间点信息 SetObjectPoint 函数 SetObjectPoint 函数 设置指定地物的空间点信息。 SSProcess.SetObjectPoint(id,pointindex,x,,y,,z,,ptype,,name,sa"
108,设置当前选择集指定地物的空间点信息,SetSelGeoPoint,"SSProcess.SetSelGeoPoint( index, pointindex, x, y, z, point type, name )","设置当前选择集指定地物的空间点信息 Online Help 设置当前选择集指定地物的空间点信息 SetSelGeoPoint 函数 SetSelGeoPoint 函数 设置当前选择集指定地物的空间点信息。 SSProcess.SetSelGeoPoint( index, pointindex, x,"
109,设置当前选择集指定地物的属性,SetSelGeoValue,"SSProcess.SetSelGeoValue( index, attrField, attrValue)","设置当前选择集指定地物的属性 Online Help 设置当前选择集指定地物的属性 SetSelGeoValue 函数 SetSelGeoValue 函数 设置当前选择集指定地物的属性。 SSProcess.SetSelGeoValue( index, attrField, attrValue) 参"
110,设置当前选择集指定注记的空间点信息,SetSelNotePoint,"SSProcess.SetSelNotePoint( index, pointindex, x, y, z, point type, name )","设置当前选择集指定注记的空间点信息 Online Help 设置当前选择集指定注记的空间点信息 SetSelNotePoint 函数 SetSelNotePoint 函数 设置当前选择集指定注记的空间点信息。 SSProcess.SetSelNotePoint( index, pointindex,"
111,设置当前选择集指定注记的属性,SetSelNoteValue,"SSProcess.SetSelNoteValue( index, attrField, attrValue)","设置当前选择集指定注记的属性 Online Help 设置当前选择集指定注记的属性 SetSelNoteValue 函数 SetSelNoteValue 函数 设置当前选择集指定注记的属性。 SSProcess.SetSelNoteValue( index, attrField, attrValue"
112,设置选择集内容句柄,SetSelObjHandle,SSProcess.SetSelObjHandle(Handle),设置选择集内容句柄 Online Help 设置选择集内容句柄 SetSelObjHandle 函数 SetSelObjHandle 函数 设置选择集内容句柄。 SSProcess.SetSelObjHandle(Handle) 参数 Handle 句柄 说明 执行该函数，将设置选择集内容句柄。 示
113,设置对象序列属性,SetSeqRecord,"SSProcess.SetSeqRecord(geoID,seqID,fieldNames,fieldValues,seqTableName)","设置对象序列属性 Online Help 设置对象序列属性 SetSeqRecor 函数 SetSeqRecord 函数 设置对象序列属性。 SSProcess.SetSeqRecord(geoID,seqID,fieldNames,fieldValues,seqTableName) 参数 geoI"
114,弧段注记转单点注记,TransArcNotePointNote,SSProcess.TransArcNotePointNote(gnoteID),弧段注记转单点注记 Online Help 弧段注记转单点注记 TransArcNotePointNote 函数 TransArcNotePointNote 函数 弧段注记转单点注记。 SSProcess.TransArcNotePointNote(gnoteID) 参数 gnoteID 注记 ID
115,属性转图形,TransAttrToObj,"SSProcess.TransAttrToObj(geoID, fieldname, insertPointX, insertPointY)","属性转图形 Online Help 属性转图形 TransAttrToObj 函数 TransAttrToObj 函数 属性转图形。 SSProcess.TransAttrToObj(geoID, fieldname, insertPointX, insertPointY) 参数 geoID 存储图"
116,单点注记转弧段注记,TransPointNoteToArcNote,SSProcess.TransPointNoteToArcNote(noteID),单点注记转弧段注记 Online Help 单点注记转弧段注记 TransPointNoteToArcNote 函数 TransPointNoteToArcNote 函数 单点注记转弧段注记。 SSProcess.TransPointNoteToArcNote(noteID) 参数 noteID 注
117,根据注记模板表修改注记属性,UpdateNoteAttrByNoteTemplate,"SSProcess.UpdateNoteAttrByNoteTemplate(notetemplateTBName, matchConditions, updateSetAttrs)",根据注记模板表修改注记属性 Online Help 根据注记模板表修改注记属性 UpdateNoteAttrByNoteTemplate 函数 UpdateNoteAttrByNoteTemplate 函数 根据 NoteTemplate 注记模板表修改注记属性。 SSProcess.UpdateN
118,根据编码表修改地物属性,UpdateObjAttrByFeatureCode,"SSProcess.UpdateObjAttrByFeatureCode( featureTBName, matchConditions, updateSetAttrs)",根据编码表修改地物属性 Online Help 根据编码表修改地物属性 UpdateObjAttrByFeatureCode 函数 UpdateObjAttrByFeatureCode 函数 根据编码表修改选择集地物的属性。 SSProcess.UpdateObjAttrByFeatureCode(
119,更新当前选择集指定地物的点列,UpdateObjectPoint,"SSProcess.UpdateObjectPoint(geoID,savetodatabase)","更新当前选择集指定地物的点列 Online Help 更新当前选择集指定地物的点列 UpdateObjectPoint 函数 UpdateObjectPoint 函数 更新当前选择集指定地物的点列。 SSProcess.UpdateObjectPoint(geoID,savetodatabase) "
120,更新当前选择集地物的点列,UpdateSelGeoPoint,SSProcess.UpdateSelGeoPoint(index),"更新当前选择集地物的点列 Online Help 更新当前选择集地物的点列 UpdateSelGeoPoint 函数 UpdateSelGeoPoint 函数 更新当前选择集地物的点列。 SSProcess.UpdateSelGeoPoint(index) 参数 index 选择集注记的索引号 , "
121,更新当前选择集指定注记的点列,UpdateSelNotePoint,SSProcess.UpdateSelNotePoint(index),更新当前选择集指定注记的点列 Online Help 更新当前选择集指定注记的点列 UpdateSelNotePoint 函数 UpdateSelNotePoint 函数 更新当前选择集指定注记的点列。 SSProcess.UpdateSelNotePoint(index) 参数 index 选择集
122,放缩多边形,ZoomInoutPolygon,"SSProcess.ZoomInoutPolygon(geoID,dist,copy,code)","放缩多边形 Online Help 放缩多边形 ZoomInoutPolygon 函数 ZoomInoutPolygon 函数 放缩多边形。 SSProcess.ZoomInoutPolygon(geoID,dist,copy,code) 参数 geoID 地物 ID dist 缩放距离 copy "
123,地模处理,,,地模处理 Online Help 地模处理 地模处理 创建格网 CreateDem 生成等高线 CreateDgx 生成三角网外接多边形 CreateTriNetOutPolygon 创建三角网 CreateTriNet 删除格网 DeleteDem 删除三角网 DeleteTriNet 输出格网 
124,创建格网,CreateDem,"SSProcess.CreateDem(triNetName, demName, ltX, ltY, cellSize, rows, cols)","创建格网 Online Help 创建格网 CreateDem 函数 CreateDem 函数 创建格网。 SSProcess.CreateDem(triNetName, demName, ltX, ltY, cellSize, rows, cols) 参数 triNetName 创建格网的三角网名"
125,生成等高线,CreateDgx,"SSProcess.CreateDgx(triNetName, dengGaoJu, jqxCode, sqxCode, minDist, maxDist, saveToDatabase)","生成等高线 Online Help 生成等高线 CreateDgx 函数 CreateDgx 函数 生成等高线。 SSProcess.CreateDgx(triNetName, dengGaoJu, jqxCode, sqxCode, minDist, maxDist, saveToDatabase"
126,生成三角网外接多边形,CreateTriNetOutPolygon,"SSProcess.CreateTriNetOutPolygon( triNetName, layerName, geoCode, saveToDatabase )","生成三角网外接多边形 Online Help 生成三角网外接多边形 CreateTriNetOutPolygon 函数 CreateTriNetOutPolygon 函数 生成三角网外接多边形。 SSProcess.CreateTriNetOutPolygon( triNetName, layerN"
127,创建三角网,CreateTriNet,"SSProcess.CreateTriNet( groupName, triNetName, txxCodes, minZ, maxZ, minSideLength, maxSideLength, filterZ0, insertStep)","创建三角网 Online Help 创建三角网 CreateTriNet 函数 CreateTriNet 函数 创建三角网。 SSProcess.CreateTriNet( groupName, triNetName, txxCodes, minZ, maxZ, minSideLength, max"
128,删除格网,DeleteDem,SSProcess.DeleteDem( demName ),"删除格网 Online Help 删除格网 DeleteDem 函数 DeleteDem 函数 删除格网。 SSProcess.DeleteDem( demName ) 参数 demName 要删除的格网名称 说明 执行该函数 , 将删除名称为 demName 的格网。 示例 Sub OnClick"
129,删除三角网,DeleteTriNet,SSProcess.DeleteTriNet( triNetName ),"删除三角网 Online Help 删除三角网 DeleteTriNet 函数 DeleteTriNet 函数 删除三角网。 SSProcess.DeleteTriNet( triNetName ) 参数 triNetName 要删除的三角网名称 说明 执行该函数 , 将删除名称为 triNetNa"
130,输出格网,ExportDem,"SSProcess.ExportDem( demName, fileType, stretch, pathName)","输出格网 Online Help 输出格网 ExportDem 函数 ExportDem 函数 输出格网。 SSProcess.ExportDem( demName, fileType, stretch, pathName) 参数 demName 要输出的格网名称 fileType 格网文件格式 0"
131,转换三角网为图形,TransTriNetToGeo,"SSProcess.TransTriNetToGeo( triNetName, layerName, geoCode, saveToDatabase )","转换三角网为图形 Online Help 转换三角网为图形 TransTriNetToGeo 函数 TransTriNetToGeo 函数 转换三角网为图形。 SSProcess.TransTriNetToGeo( triNetName, layerName, geoCode, saveToData"
132,工程管理函数,,,工程管理函数 Online Help 工程管理 函数 工程管理函数 工程管理主要实现 EPS MDB 工程的创建、打开、关闭和数据合并等功能，包括以下方法： 关闭数据库 CloseDatabase 创建数据库 CreateDatabase 获取工程文件名 GetProjectFileName 获取系
133,关闭数据库,CloseDatabase,SSProcess.CloseDatabase(),关闭数据库 Online Help 关闭数据库 CloseDatabase 函数 CloseDatabase 函数 关闭当前打开的 EPS MDB 数据库。 SSProcess.CloseDatabase() 参数 说明 执行该函数，将关闭当前打开的工程，并把软件启动时打开的工程做为当前工程。 函数
